scheme_id,step_id,section,step_or_instruction
S001,S001-A001,,Offline**
S001,S001-A002,,"Self Help Groups (SHGs), NGOs registered in the Darpan portal of NITI Aayog, and Government Organizations can apply through the Regional /Sub Regional Office of the Board for organizing training programs at the field level."
S001,S001-A003,,﻿[Application Forms](http://coirboard.gov.in/?page_id=3272) for the Scheme (Skill Upgradation and Mahila Coir Yojana)
S002,S002-A001,,Online**
S002,S002-A002,,Step 01: Visit the Official Website of [Arunachal Pradesh Startup Portal](https://startup.arunachal.gov.in/)﻿
S002,S002-A003,,Step 02: Click on Register Now. It will take you to the [Register Page](https://apstartup.in/).
S002,S002-A004,,Step 03: Then on the Register page click on [Register Now](http://www.apstartup.in/).
S002,S002-A005,,"Step 04: Register by filling in your basic details i\:e. Your Name, Contact Number, Email Address, Password, and How did you hear about us? After filling in these details Click on Sign up."
S002,S002-A006,,"Step 05: [Login](https://contest.iimcip.org/login) using the confirmation mail link on your Mail account. After login, you will receive a Congratulation mail"
S002,S002-A007,,Step 06: [Login](http://contest.iimcip.org/login/arunachal-pradesh-entrepreneurship-challenge) by typing your mail Id & Password to access the form and submit.
S002,S002-A008,,"Step 07:  After Signing in you will land on the Form page, Answer all the questions with red stars must be answered, fill in all the necessary details, and be as descriptive as possible you can."
S002,S002-A009,,Step 08: Click Draft if you want to save an incomplete form & Click Submit if you want to submit the final application.
S003,S003-A001,,Online**
S003,S003-A002,,Offline**
S003,S003-A003,,Registration of a Construction Worker under BBOCWWB:***
S003,S003-A004,,Step 1:** Visit the [Official Website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board.
S003,S003-A005,,"Step 2:** On the homepage, click on ""[Labour Registration](https://bocwscheme.bihar.gov.in/worker_reg)""."
S003,S003-A006,,"Step 3:** Enter your Aadhar card number and name, then click ""Authenticate""."
S003,S003-A007,,"Step 4:** A dashboard will appear. Enter all required details, ensuring that all fields marked with an asterisk (\*) are filled in correctly."
S003,S003-A008,,"Step 5:** Click on ""Submit"" and proceed to pay the application fee online."
S003,S003-A009,,Step 6:** You will receive your construction worker registration number upon successful registration.
S003,S003-A010,,Apply for Scheme Benefits:***
S003,S003-A011,,Step 1:** Visit the [Official Website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board.
S003,S003-A012,,"Step 2:** Click on ""Login"" and select ""Labour""."
S003,S003-A013,,"Step 3:** Enter your registration number & year of Birth, click ""Show"" to view your details."
S003,S003-A014,,Step 4:** Select the scheme you wish to apply for to avail the benefits.
S003,S003-A015,,Step 5:** Enter all required information and upload the necessary documents.
S003,S003-A016,,"Step 6:** Click on ""Submit Application"" to complete the process."
S003,S003-A017,,Application Tracking:***
S003,S003-A018,,Applicant can track their application status online through the [official website](https://bocwscheme.bihar.gov.in/home) of the Bihar Building and Other Construction Workers Welfare Board. Relevant updates will be sent to the registered mobile number.
S004,S004-A001,,Offline**
S004,S004-A002,,Step 1:** Eligible candidates can obtain application forms from the Institute office or from Institute's Website.
S004,S004-A003,,Step 2:** The applicant should submit the duly filled application form along with all the documents and application fees.
S004,S004-A004,,Application Fee**
S004,S004-A005,,"1\.  The fees chargeable to the applicant/eventual trainee would be ₹ 100/- for general candidates, a 50% fee (i.e. ₹ 50/-) for Women and Physically Handicapped, and no fees from the SC/ST candidates."
S004,S004-A006,,2\.  The Application Fee will be accepted in cash (by the Accounts Department of the institute) or as a Demand Draft in favor of the Principal of the Institute and payable at the city of the institute.
S005,S005-A001,,Online**
S005,S005-A002,,Step 1: A unit/applicant can apply for ATUFS after the machinery is installed for undergoing a joint inspection.
S005,S005-A003,,Step 2: The applicant can submit the ATUFS application online on the [iTUFS online portal.](https://itufstxcindia.gov.in/Login.aspx?ReturnUrl=%2f)﻿
S005,S005-A004,,"Step 3: Once the application is submitted, it will be forwarded to different stakeholders for verification."
S005,S005-A005,,Step 4: A Unique Identification Number (UID) is generated and provided to the applicants.
S005,S005-A006,,Step 5: Applicants can track the application online and can opt to get SMS/e-Mail updates about the application status through the UID.
S005,S005-A007,,"Step 6: After the stakeholders approve, the Ministry of Textiles will release the funds.[﻿](https://itufstxcindia.gov.in/Login.aspx?ReturnUrl=%2f)"
S005,S005-A008,,﻿
S006,S006-A001,,Online**
S006,S006-A002,,Registration:***
S006,S006-A003,,"Step 1:** Visit the [Official website](https://shramadhan.jharkhand.gov.in/home) of Comprehensive Labour Management System for Factory Establishment / Worker Registration / Inspection / Management & Grievance Redressal; Department of Labour, Employment, Training & Skill Development; Govt. of Jharkhand."
S006,S006-A004,,"Step 2:** At the top right corner, click ""Login"". On the pop-up screen, click ""Register Here""."
S006,S006-A005,,"Step 3:** On the next page, a Registration Form will appear. Provide the following mandatory details: First Name, Last Name, Email, and Mobile. Create a Username and a Password. Confirm the Password. Fill in the Captcha Code. Click ""Register"". Your Mobile Number and Email ID will be verified via One Time Password (OTP). Upon successful verification of the OTP, your registration will be successful. The Login Credentials will be sent to your registered Email ID and Mobile Number."
S006,S006-A006,,Application:***
S006,S006-A007,,"Step 1:** Visit the [Official website](https://shramadhan.jharkhand.gov.in/home) of Comprehensive Labour Management System for Factory Establishment / Worker Registration / Inspection / Management & Grievance Redressal; Department of Labour, Employment, Training & Skill Development; Govt. of Jharkhand."
S006,S006-A008,,"Step 2:** At the top right corner, click ""Login"". Fill in your Username and Password. Click ""Login""."
S006,S006-A009,,"Step 3:** In the ribbon, click ""Services > BOC Scheme Benefit > Application Form. On the next page, the ""Scheme Benefit Form"" (Application Form) will open."
S006,S006-A010,,"a)   In the ""Basic Details"" section, fill in the mandatory fields (fields ending with a red asterisk mark): BOC Registration Number, Applicant's Name, Applicant's Father's Name / Husband's Name, Applicant's Date of Birth, Applicant's Aadhaar Number, District, Sex."
S006,S006-A011,,"b)   In the ""Select Scheme"" section, select the scheme from the list that you wish to apply for."
S006,S006-A012,,"c)   In the ""Upload Section"", upload the mandatory documents (those ending with a red asterisk mark) in the specified file size and file type."
S006,S006-A013,,"Step 4:** Finally, click on ""Submit Request"" to submit your application. On the next page, your ""Application ID"" will be displayed, confirming the successful submission of the application. Please note down this Application ID for future reference. The Application ID will also be sent to your registered Email ID."
S006,S006-A014,,Check Application Status:***
S006,S006-A015,,"Step 1:** Once submitted, the application goes for 3-level approval: Clerk > Labour Superintendent > DLC."
S006,S006-A016,,Step 2:** Go to Services > BOC Scheme Benefit > Application Status.
S006,S006-A017,,"Step 3:** On the next page, fill in your Application ID, and click ""Search"". The status of your application will be displayed in a tabular format: Application ID, Applicant Name, Scheme Applied, Application Status, Remarks, Date, and Time."
S006,S006-A018,,"Step 4:** Once the DLC approves the application, the ""Application Status"" changes to ""Approved"". The Applicant can take print of this page by clicking “PRINT” and submit the same at the Labour Office to avail of the scheme benefit."
S007,S007-A001,,Online**
S007,S007-A002,,The application will have to be submitted online by the beneficiary on the Board's online portal [www.ldms.rajasthan.gov.in](https://ldms.rajasthan.gov.in/) in the prescribed form.
S007,S007-A003,,"Time period for submission of application - After the date of publication of the notification, the registered beneficiary will have to submit the application within a maximum period of 3 months after obtaining a valid visa as per rules."
S007,S007-A004,,"The approval under the scheme will be issued after the senior most officer of the local labor office or other officer authorized by the divisional secretary, test and complete satisfaction."
S007,S007-A005,,The assistance amount will be transferred through electronic means (RTGS / NEFT) to the candidate's bank account under the central banking system.
S007,S007-A006,,﻿
S008,S008-A001,,Offline**
S008,S008-A002,,Step 1:** The applicant should take print of the format of the [application form](https://artnculturemanipur.gov.in/media/filer_public/77/18/771853bc-9222-4c87-90db-c082867788bf/application_form_for_training_with_new_production.pdf) [﻿](https://artnculturemanipur.gov.in/media/filer_public/77/18/771853bc-9222-4c87-90db-c082867788bf/application_form_for_training_with_new_production.pdf)
S008,S008-A003,,provided in the scheme guidelines.
S008,S008-A004,,Step 2:** The applicant should fill in all the mandatory fields and attach all the (self-attested) required documents.
