scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S001,S001-E001,,occupation_or_beneficiary_type,INFORMATION,"Self Help Groups (SHGs), NGOs registered in the Darpan Portal of NITI Aayog, and Government Organizations can apply through the Regional /Sub Regional Office of the Board for organizing training programs at the field level.","Self Help Groups (SHGs), NGOs registered in the Darpan Portal of NITI Aayog, and Government Organizations can apply through the Regional /Sub Regional Office of the Board for organizing training programs at the field level."
S001,S001-E002,,occupation_or_beneficiary_type,INFORMATION,"The Self-help Groups (SHGs), NGOs, and Government Organizations should have adequate infrastructural facilities such as work sheds, power connections, equipment, and raw materials.","The Self-help Groups (SHGs), NGOs, and Government Organizations should have adequate infrastructural facilities such as work sheds, power connections, equipment, and raw materials."
S002,S002-E001,,age,INFORMATION,"1\.	The applicant should be a resident of Arunachal Pradesh above 18 years of age with principal business units or should have a proposal to set up branches in Arunachal Pradesh or an Arunachali currently working or residing outside the state, but wishes to return back to the state & become an Entrepreneur.","1\.	The applicant should be a resident of Arunachal Pradesh above 18 years of age with principal business units or should have a proposal to set up branches in Arunachal Pradesh or an Arunachali currently working or residing outside the state, but wishes to return back to the state & become an Entrepreneur."
S002,S002-E002,,special_condition,INFORMATION,2\.	The applicant should be promised an idea and plan or prototype/working model.,2\.	The applicant should be promised an idea and plan or prototype/working model.
S002,S002-E003,,occupation_or_beneficiary_type,INFORMATION,3\.	The applicant should be an Entrepreneur with good communication skills.,3\.	The applicant should be an Entrepreneur with good communication skills.
S002,S002-E004,,age,INFORMATION,4\.	The applicant should be an early-stage venture set up on or after 15 August 2015.,4\.	The applicant should be an early-stage venture set up on or after 15 August 2015.
S002,S002-E005,,special_condition,INFORMATION,5\.	The applicant should be MSME-registered enterprises.,5\.	The applicant should be MSME-registered enterprises.
S002,S002-E006,,occupation_or_beneficiary_type,INFORMATION,6\.	The applicant should be an existing entrepreneur in your district.,6\.	The applicant should be an existing entrepreneur in your district.
S002,S002-E007,,education,INFORMATION,7\.	The applicant should be a College graduate.,7\.	The applicant should be a College graduate.
S002,S002-E008,,special_condition,INFORMATION,8\.	The applicant should be Self-employed people in innovative businesses.,8\.	The applicant should be Self-employed people in innovative businesses.
S002,S002-E009,,special_condition,INFORMATION,9\.	The applicant should belong to organized producer groups.,9\.	The applicant should belong to organized producer groups.
S003,S003-E001,,age,INFORMATION,The worker should be engaged in building or construction work.,The worker should be engaged in building or construction work.
S003,S003-E002,,occupation_or_beneficiary_type,INFORMATION,The worker should be registered with the Bihar Building & Other Construction Workers Welfare Board.,The worker should be registered with the Bihar Building & Other Construction Workers Welfare Board.
S003,S003-E003,,occupation_or_beneficiary_type,INFORMATION,The worker's membership with the Welfare Board should be active at the time of application.,The worker's membership with the Welfare Board should be active at the time of application.
S003,S003-E004,,occupation_or_beneficiary_type,INFORMATION,Only registered workers who have completed any skill upgradation training are eligible to avail benefits under the scheme.,Only registered workers who have completed any skill upgradation training are eligible to avail benefits under the scheme.
S004,S004-E001,,education,INFORMATION,1\.  The applicant should have passed Class 8th.,1\.  The applicant should have passed Class 8th.
S004,S004-E002,,age,INFORMATION,2\.  The applicant should be above the age of 18 years.,2\.  The applicant should be above the age of 18 years.
S004,S004-E003,,education,INFORMATION,Note 1:** A class will have a minimum of 10 trainees and a maximum of 30.,Note 1:** A class will have a minimum of 10 trainees and a maximum of 30.
S004,S004-E004,,age,INFORMATION,"Note 2:** In case the number of eligible candidates exceeds the requirement of a batch and there is a requirement of additional batches, the Implementing Agency will concurrently or in phases run more batches depending on its institutional capacity.","Note 2:** In case the number of eligible candidates exceeds the requirement of a batch and there is a requirement of additional batches, the Implementing Agency will concurrently or in phases run more batches depending on its institutional capacity."
