scheme_id,benefit_id,benefit_section,benefit
S001,S001-B001,,Nature of assistance:** Coir workers/entrepreneurs will get an awareness of modern technologies developed by the Coir Board. The training programme will help the trainees/ artisans to upgrade their skills in producing coir yarn and other diversified coir products. Management skills can also be acquired by attending EDP programmes to the entrepreneurs to run the Coir units more effectively and efficiently.
S001,S001-B002,,Skill Upgradation:***
S001,S001-B003,,"**Entrepreneurship Promotion:** Encourages individuals to start coir processing units through EDPs, workshops, seminars, and exposure tours."
S001,S001-B004,,"**Skill Development Training:** Provides training in value-added coir products, spinning, and other processes to build skilled manpower."
S001,S001-B005,,"**Monthly Stipend Support:** Offers ₹3,000 per month to trainees, with pro-rata payment for shorter training durations."
S001,S001-B006,,"**Trainer Support:** Ensures quality training through honorarium up to ₹15,000 per month for trainers."
S001,S001-B007,,"**Operational Cost Assistance:** Provides ₹400 per trainee per month to sponsoring agencies for expenses like raw materials, electricity, and other costs."
S001,S001-B008,,**Technology Awareness:** Helps workers and entrepreneurs understand and adopt modern coir processing technologies.
S001,S001-B009,,**Management Skill Enhancement:** Enables entrepreneurs to improve business management and operational efficiency.
S001,S001-B010,,Mahila Coir Yojana (MYC):***
S001,S001-B011,,**Women-Focused Training:** Exclusive training programmes for rural women artisans in coir-related activities.
S001,S001-B012,,**Advanced Skill Development:** Training on modern machinery and advanced technology to enhance productivity and quality.
S001,S001-B013,,**Entrepreneurship Support:** Integration with entrepreneurial programmes to help women start their own coir units.
S001,S001-B014,,**Linkage with PMEGP:** Facilitates access to financial assistance for self-employment through PMEGP.
S001,S001-B015,,**Handholding Support:** Provides guidance and assistance by Coir Board officials to avail scheme benefits.
S001,S001-B016,,"**Distribution of Equipment:** Supplies motorized ratts and other machinery for spinning, weaving, and production."
S001,S001-B017,,"**Financial Assistance for Units:** Supports setting up coir units with project cost up to ₹25,00,000/- under PMEGP."
S001,S001-B018,,"**Employment Generation:** Creates sustainable livelihood opportunities for rural women artisans.ce for procurement of machines/equipment may be obtained under the PMEGP scheme for setting up new coir units for which the maximum project cost is up to ₹25,00,000/-."
